y_true,y_pred
170.0,170.0
183.0,183.0
170.0,170.0
170.0,170.05
174.0,174.0
170.0,170.0
170.0,170.0
170.0,170.0
173.0,173.0
175.0,175.0
170.0,170.0
164.0,164.0
170.0,170.0
183.0,183.0
177.0,177.0
183.0,183.0
170.0,170.0
162.0,161.98
170.0,170.0
162.0,162.0
164.0,164.0
174.0,174.03
177.0,177.0
170.0,170.0
168.0,168.0
164.0,164.0
170.0,170.0
173.0,173.0
175.0,174.95
174.0,174.0
164.0,164.04
173.0,173.0
173.0,173.0
160.0,160.04
170.0,170.0
162.0,162.0
177.0,177.0
170.0,170.0
173.0,173.0
175.0,175.0
170.0,170.1
183.0,183.0
170.0,170.0
175.0,175.0
175.0,175.0
170.0,170.0
177.0,177.0
173.0,173.0
168.0,168.0
168.0,168.0
173.0,173.0
183.0,183.0
173.0,173.0
175.0,175.0
170.0,170.0
160.0,160.0
175.0,174.38
175.0,175.0
170.0,170.0
170.0,170.1
173.0,173.0
173.0,173.0
170.0,170.0
175.0,175.0
170.0,169.98
183.0,183.0
164.0,164.0
170.0,170.0
160.0,160.0
175.0,175.0
173.0,173.0
168.0,168.3
175.0,175.0
177.0,177.0
175.0,175.0
174.0,174.0
170.0,170.0
160.0,160.04
183.0,183.0
168.0,168.0
173.0,173.0
175.0,175.0
173.0,173.0
183.0,183.0
164.0,164.06
175.0,175.0
175.0,175.0
177.0,177.0
162.0,162.0
175.0,175.0
170.0,170.0
164.0,164.0
170.0,170.0
175.0,174.98
170.0,170.0
170.0,170.0
183.0,182.91
177.0,177.0
164.0,164.06
164.0,164.0
170.0,170.33
175.0,175.0
168.0,168.0
174.0,174.0
170.0,171.12
164.0,164.0
170.0,170.0
173.0,173.0
168.0,168.07
160.0,160.0
164.0,164.0
160.0,160.0
168.0,168.0
168.0,168.0
160.0,160.5
168.0,168.0
173.0,173.0
183.0,182.91
168.0,168.3
183.0,182.9
175.0,175.0
174.0,174.0
170.0,170.0
164.0,164.0
168.0,168.0
175.0,174.95
175.0,174.98
168.0,168.0
170.0,170.0
173.0,173.0
170.0,170.0
170.0,170.0
174.0,174.0
175.0,175.0
177.0,177.0
164.0,164.0
175.0,175.0
173.0,173.0
170.0,170.1
175.0,174.95
173.0,173.0
175.0,175.0
170.0,170.1
183.0,183.0
175.0,175.0
170.0,170.0
173.0,173.0
170.0,170.0
162.0,162.0
168.0,168.44
173.0,173.0
183.0,183.0
164.0,164.0
168.0,168.0
175.0,174.95
160.0,160.0
162.0,162.0
170.0,170.0
170.0,170.0
175.0,174.98
170.0,170.0
170.0,170.1
175.0,175.0
175.0,175.0
174.0,174.0
183.0,183.0
164.0,164.0
164.0,164.0
174.0,174.0
170.0,170.0
173.0,173.0
173.0,173.0
173.0,173.0
174.0,174.03
173.0,173.0
170.0,170.0
170.0,170.05
162.0,162.51
170.0,170.0
170.0,170.0
164.0,164.0
175.0,175.0
170.0,170.0
170.0,170.0
170.0,170.0
175.0,175.0
170.0,170.0
183.0,182.9
170.0,170.05
170.0,170.0
170.0,170.0
164.0,164.0
175.0,175.0
170.0,170.0
162.0,162.0
175.0,175.0
164.0,164.0
174.0,174.0
170.0,170.0
170.0,170.0
173.0,173.0
168.0,168.3
168.0,168.0
175.0,175.0
173.0,173.0
160.0,160.0
160.0,160.0
170.0,170.0
173.0,173.0
177.0,176.73
170.0,170.0
170.0,170.0
170.0,170.0
170.0,170.0
175.0,175.0
173.0,173.0
170.0,170.0
173.0,173.0
175.0,175.0
168.0,168.07
164.0,164.0
175.0,175.0
160.0,160.04
183.0,182.91
173.0,173.0
170.0,170.0
170.0,170.0
170.0,170.0
173.0,173.0
170.0,170.0
170.0,170.0
183.0,183.0
164.0,164.78
175.0,175.0
160.0,160.0
170.0,170.0
177.0,177.0
170.0,170.0
162.0,162.0
170.0,170.0
170.0,170.0
173.0,173.0
170.0,170.0
170.0,170.0
173.0,173.0
160.0,160.0
177.0,177.0
173.0,173.0
175.0,175.0
175.0,175.0
168.0,168.0
175.0,175.0
173.0,173.0
174.0,174.0
164.0,164.0
173.0,173.0
173.0,173.0
170.0,170.3
168.0,167.82
183.0,182.9
175.0,175.0
168.0,168.0
162.0,162.0
173.0,173.0
168.0,168.0
173.0,173.15
175.0,175.0
170.0,170.0
160.0,160.0
170.0,170.0
162.0,162.0
164.0,164.0
164.0,164.0
177.0,177.0
175.0,175.0
175.0,173.7
175.0,174.98
175.0,175.0
173.0,173.0
177.0,177.0
175.0,175.0
170.0,170.0
175.0,175.0
168.0,168.0
170.0,170.1
175.0,175.0
168.0,168.0
170.0,170.0
164.0,164.0
173.0,173.0
164.0,164.0
175.0,175.0
175.0,175.0
175.0,175.0
183.0,182.91
177.0,177.0
174.0,174.03
183.0,181.5
173.0,173.0
183.0,182.91
164.0,164.0
160.0,160.0
170.0,170.0
170.0,170.0
183.0,183.0
175.0,175.0
175.0,175.0
174.0,174.0
183.0,183.0
160.0,160.04
173.0,173.0
170.0,170.0
164.0,164.0
173.0,173.0
170.0,170.0
175.0,175.0
175.0,175.0
170.0,170.0
175.0,175.0
170.0,170.0
162.0,162.0
170.0,170.0
177.0,177.0
170.0,170.0
170.0,170.0
170.0,170.0
164.0,164.0
168.0,168.0
160.0,160.0
174.0,174.03
160.0,160.0
160.0,160.0
173.0,173.0
174.0,174.0
170.0,170.1
170.0,170.0
170.0,170.0
160.0,160.0
177.0,177.0
168.0,167.82
173.0,173.0
173.0,173.0
168.0,167.96
168.0,168.0
170.0,170.0
175.0,174.98
170.0,169.86
168.0,168.0
177.0,177.0
173.0,173.0
168.0,167.82
175.0,176.26
173.0,173.0
160.0,160.0
174.0,174.0
173.0,173.01
173.0,173.0
175.0,175.0
174.0,174.2
170.0,170.0
173.0,173.0
173.0,172.94
175.0,175.0
170.0,170.0
162.0,162.0
170.0,170.0
170.0,170.0
170.0,170.0
160.0,160.0
170.0,170.0
183.0,183.0
175.0,175.0
162.0,162.0
170.0,170.0
175.0,175.0
160.0,160.0
170.0,170.0
170.0,170.0
175.0,175.38
177.0,177.0
164.0,164.0
168.0,168.0
175.0,175.0
175.0,175.0
162.0,162.0
175.0,175.0
170.0,170.05
170.0,170.0
170.0,170.0
170.0,170.0
164.0,164.06
164.0,164.0
170.0,170.0
175.0,175.0
175.0,175.0
170.0,170.0
170.0,170.0
170.0,170.0
170.0,170.0
170.0,170.0
164.0,164.0
170.0,170.0
168.0,168.0
175.0,175.0
168.0,168.0
168.0,168.0
170.0,170.0
177.0,177.0
170.0,170.0
173.0,173.0
174.0,174.0
175.0,175.0
162.0,162.0
170.0,170.0
173.0,173.0
168.0,168.0
175.0,175.0
174.0,174.0
173.0,173.0
168.0,168.0
175.0,175.0
173.0,173.0
175.0,175.0
168.0,168.3
164.0,164.0
170.0,170.0
170.0,170.0
164.0,164.0
173.0,173.0
170.0,169.98
160.0,160.04
170.0,170.0
175.0,174.74
162.0,162.0
174.0,174.0
183.0,183.0
173.0,173.0
175.0,175.0
173.0,173.0
175.0,175.0
170.0,170.0
164.0,164.0
168.0,168.0
174.0,174.0
177.0,177.0
175.0,175.0
164.0,163.72
168.0,168.0
174.0,174.0
164.0,164.0
160.0,160.0
162.0,162.0
168.0,168.0
177.0,177.0
168.0,168.0
174.0,174.0
170.0,170.0
173.0,173.0
173.0,173.0
168.0,168.0
164.0,164.0
164.0,164.0
177.0,176.89
168.0,168.0
173.0,173.0
160.0,160.0
168.0,168.0
170.0,169.92
164.0,164.0
174.0,174.0
164.0,164.0
162.0,162.0
170.0,170.0
177.0,177.0
170.0,170.0
170.0,170.0
162.0,162.0
175.0,175.0
170.0,170.0
173.0,173.0
160.0,160.0
170.0,170.0
174.0,174.0
170.0,170.0
173.0,173.0
173.0,173.93
170.0,170.0
170.0,170.0
170.0,170.0
177.0,177.0
170.0,170.3
175.0,174.95
183.0,181.59
177.0,177.0
175.0,175.0
164.0,164.0
170.0,170.0
162.0,161.98
177.0,177.0
164.0,164.0
164.0,164.0
170.0,170.0
162.0,162.0
174.0,174.0
173.0,173.0
177.0,177.0
173.0,173.0
170.0,170.0
183.0,183.0
170.0,170.0
164.0,164.08
173.0,173.0
170.0,170.0
170.0,170.0
175.0,175.0
173.0,173.0
170.0,170.0
170.0,170.0
170.0,170.0
162.0,162.0
162.0,162.0
168.0,168.0
170.0,170.0
177.0,177.0
168.0,168.0
170.0,170.0
173.0,173.0
170.0,170.05
162.0,162.0
162.0,162.0
177.0,177.0
170.0,170.0
170.0,170.0
174.0,174.0
175.0,174.98
170.0,170.0
183.0,183.0
173.0,173.0
177.0,177.0
173.0,173.0
164.0,164.0
170.0,170.0
164.0,164.0
162.0,162.0
175.0,175.0
175.0,174.98
173.0,173.0
170.0,170.0
173.0,173.0
173.0,173.0
173.0,173.0
170.0,170.0
175.0,175.0
168.0,168.0
160.0,160.0
170.0,170.0
170.0,170.0
170.0,170.0
175.0,175.0
175.0,175.0
160.0,160.0
183.0,183.0
175.0,175.0
175.0,174.98
173.0,173.0
175.0,174.95
170.0,170.0
168.0,168.0
175.0,175.0
168.0,168.0
170.0,170.0
162.0,162.0
175.0,175.0
168.0,168.0
175.0,175.0
170.0,170.0
162.0,162.0
160.0,160.0
164.0,164.0
170.0,170.0
160.0,160.84
160.0,160.0
175.0,175.0
168.0,168.0
170.0,170.0
164.0,164.0
173.0,173.0
170.0,169.98
160.0,160.2
175.0,175.0
170.0,170.0
162.0,162.0
175.0,175.0
170.0,170.0
175.0,175.0
